$vars: qsquared (GeV^2) & w (GeV) & costhkcm & transf_pol_z -sysErr & transf_pol_x -sysErr
$const: E_beam 5.754 (GeV)


2.124       1.990      0.4300      0.5772      0.0529      0.0572      0.0220      0.0517      0.0510
2.215       1.990      0.4300      0.5958      0.0531      0.0576      0.0971      0.0529      0.0512
2.305       1.990      0.4300      0.6136      0.0542      0.0580      0.0094      0.0524      0.0510
2.394       1.990      0.4300      0.5624      0.0564      0.0569      0.1033      0.0551      0.0512
2.490       1.990      0.4300      0.5363      0.0563      0.0564      0.0694      0.0558      0.0511
2.589       1.990      0.4300      0.5976      0.0576      0.0577      0.0231      0.0563      0.0510
2.699       1.990      0.4300      0.5788      0.0547      0.0573      0.0515      0.0536      0.0511
2.828       1.990      0.4300      0.6533      0.0546      0.0589      0.0491      0.0526      0.0510
2.982       1.990      0.4300      0.6623      0.0534      0.0591      0.0467      0.0524      0.0510
3.156       1.990      0.4300      0.7026      0.0556      0.0600      0.0096      0.0547      0.0510
3.353       1.990      0.4300      0.7212      0.0579      0.0605      0.0395      0.0552      0.0510
3.597       1.990      0.4300      0.6169      0.0553      0.0581      0.0298      0.0535      0.0510
3.954       1.990      0.4300      0.7021      0.0571      0.0600     -0.1156      0.0547      0.0513
4.617       1.990      0.4300      0.7008      0.0580      0.0600      0.0374      0.0569      0.0510


# Extra info:
#  - Systematic uncertainties are given by 
#    0.051 added in quadrature to 0.045*P'_Lambda.
#  - these data were sent to us by D.Carman on Dec,22 2009

# Results published in:
# Carman et al.
# Beam-recoil polarization transfer in the nucleon resonance region in
# the exclusive ep->e'K+L and ep->e'KS0 reactions at the CLAS spectrometer
# Phys.Rev.C 79, 065205 (2009)
